Date,Campaign,"Campaign ID",Impressions,"Social impressions","Social %",Clicks,"Social clicks",CTR,"Social CTR",CPC,CPM,Spent,Reach,Frequency,"Social reach",Connections,"Unique clicks","Unique CTR"
04/09/2011,"ARMAND - FANPAGE PB competition",6003034782192,412162,211359,51.28%,166,59,0.040%,0.028%,0.60,0.24,100.00,36775,11.2,13603,33,162,0.441%
04/09/2011,"ARMAND - FANPAGE PB friends of friends",6003034884592,256327,245752,95.87%,39,37,0.015%,0.015%,0.64,0.10,25.00,65650,3.9,62591,1,39,0.059%
04/09/2011,"ARMAND - FANPAGE PAKER promo",6003035957392,23719,9549,40.26%,20,8,0.084%,0.084%,0.50,0.42,10.00,9146,2.6,2925,1,20,0.219%
04/09/2011,"ARMAND - PB website promo General",6003044353592,78557,0,0.00%,29,0,0.037%,0.000%,0.52,0.19,15.00,19020,4.1,0,0,28,0.147%
04/09/2011,"sponsored stories",6003098447992,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Page like - UK",6003343584192,48290,48290,100.00%,78,78,0.162%,0.162%,0.20,0.32,15.37,9424,5.1,9424,26,78,0.828%
04/09/2011,"BART - Test - Stories",6003347372392,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Sponsored Stories",6003353798792,43153,42995,99.63%,29,29,0.067%,0.067%,0.68,0.46,19.77,3879,11.1,3869,0,29,0.748%
04/09/2011,"BART - TEST - MASTER",6003354810792,25441,11274,44.31%,19,13,0.075%,0.115%,0.53,0.39,10.00,2464,10.3,1060,9,19,0.771%
04/09/2011,"BART - TEST - SAME",6003358125792,23663,10391,43.91%,16,6,0.068%,0.058%,0.63,0.42,10.00,2412,9.8,1005,9,16,0.663%
04/09/2011,"BART - TEST - BID -50p",6003366543392,23492,9896,42.12%,19,10,0.081%,0.101%,0.53,0.43,10.00,2356,10.0,1009,10,19,0.806%
04/09/2011,"BART - TEST - BID +50p",6003366548392,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - TEST - Explosion",6003378505992,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - TEST - Greece",6003379625392,46939,13226,28.18%,37,9,0.079%,0.068%,0.13,0.10,4.86,1551,30.3,391,9,37,2.386%
04/09/2011,"BART - TEST - GREECE n ireland",6003390915792,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - TEST - Ireland",6003390929992,32664,9345,28.61%,43,10,0.132%,0.107%,0.35,0.47,15.23,1227,26.6,330,25,41,3.341%
04/09/2011,"BART - TEST - Greece2",6003391003392,229465,50127,21.85%,135,28,0.059%,0.056%,0.20,0.11,26.33,5090,45.1,1103,40,132,2.593%
04/09/2011,"BART - TEST - Greece3",6003391005592,457939,99753,21.78%,221,57,0.048%,0.057%,0.18,0.09,39.23,7651,59.9,1666,48,207,2.706%
04/09/2011,"BART - TEST - Ireland2",6003391015792,109912,24226,22.04%,81,17,0.074%,0.070%,0.37,0.27,30.12,3613,30.4,750,31,78,2.159%
04/09/2011,"BART - TEST - Ireland3",6003391017992,98413,23202,23.58%,84,20,0.085%,0.086%,0.39,0.33,32.36,2688,36.6,657,34,83,3.088%
04/09/2011,"BART - Page Like - Greece",6003393620392,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Page Like - Ireland",6003393629992,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - HyperDrive - Tab - fans",6003396399792,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - HyperDrive - Tab - nonfans",6003396402792,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - HyperDrive - www - nonfans",6003396406192,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - HyperDrive - www - fans",6003396408992,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - MyoFusion - Tab - fans",6003397960992,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - Myofusion - Tab - nonfans",6003397964192,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - MyoFusion - www - fans",6003397966592,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
04/09/2011,"BART - Deal - Myofusion - www - nonfans",6003398027592,0,0,0.00%,0,0,0.000%,0.000%,0,0,0.00,0,0.0,0,0,0,0.000%
05/09/2011,"ARMAND - FANPAGE PB competition",6003034782192,464257,218350,47.03%,168,64,0.036%,0.029%,0.60,0.22,100.00,42947,10.8,15584,40,167,0.389%
05/09/2011,"ARMAND - FANPAGE PB friends of friends",6003034884592,95436,91266,95.63%,13,13,0.014%,0.014%,0.67,0.09,8.73,24581,3.9,23278,3,13,0.053%
05/09/2011,"ARMAND - FANPAGE PAKER promo",6003035957392,26224,10808,41.21%,22,10,0.084%,0.093%,0.45,0.38,1
